"","quarter","variable","value"
"1","2013.2","Pap_quarter",5
"2","2013.3","Pap_quarter",6
"3","2013.4","Pap_quarter",12
"4","2014.1","Pap_quarter",15
"5","2014.2","Pap_quarter",18
"6","2014.3","Pap_quarter",10
"7","2014.4","Pap_quarter",8
"8","2015.1","Pap_quarter",16
"9","2015.2","Pap_quarter",18
"10","2015.3","Pap_quarter",31
"11","2015.4","Pap_quarter",25
"12","2016.1","Pap_quarter",31
"13","2016.2","Pap_quarter",35
"14","2016.3","Pap_quarter",28
"15","2016.4","Pap_quarter",35
"16","2017.1","Pap_quarter",46
"17","2017.2","Pap_quarter",47
"18","2017.3","Pap_quarter",65
"19","2017.4","Pap_quarter",43
"20","2018.1","Pap_quarter",70
"21","2018.2","Pap_quarter",69
"22","2018.3","Pap_quarter",57
"23","2018.4","Pap_quarter",89
"24","2019.1","Pap_quarter",73
"25","2019.2","Pap_quarter",80
"26","2019.3","Pap_quarter",89
"27","2013.2","nonpap",4
"28","2013.3","nonpap",15
"29","2013.4","nonpap",31
"30","2014.1","nonpap",45
"31","2014.2","nonpap",32
"32","2014.3","nonpap",54
"33","2014.4","nonpap",40
"34","2015.1","nonpap",36
"35","2015.2","nonpap",34
"36","2015.3","nonpap",32
"37","2015.4","nonpap",49
"38","2016.1","nonpap",45
"39","2016.2","nonpap",94
"40","2016.3","nonpap",96
"41","2016.4","nonpap",111
"42","2017.1","nonpap",92
"43","2017.2","nonpap",88
"44","2017.3","nonpap",72
"45","2017.4","nonpap",63
"46","2018.1","nonpap",60
"47","2018.2","nonpap",134
"48","2018.3","nonpap",104
"49","2018.4","nonpap",127
"50","2019.1","nonpap",127
"51","2019.2","nonpap",144
"52","2019.3","nonpap",151
